full_text,label,language,cleaned_text,is_metadata_only,word_count,contains_rempang
@tvOneNews Yg preman warga apa yg menyerbu warga....???  Yg bener aje nie... Gue nanya nie...bukan nuduh yee...  Kalo nuduh ntar gue bs di kandangin jg ame warga rempang...,,id,@tvOneNews Yg preman warga apa yg menyerbu warga....???  Yg bener aje nie... Gue nanya nie...bukan nuduh yee...  Kalo nuduh ntar gue bs di kandangin jg ame warga rempang...,False,29,True
"@ch_chotimah2 @jokowi @gibran_tweet @ganjarpranowo Saya 2x pilih lurah... Tp sejak kasus rempang sudah gak ada simpatik lagi k lurah. Demi cuan masuk, rakyat d gebukin n d tembaki gas air mata. Dan pak lurah sama sekalipuan gak ada statement. Tp klo k papua bisa berkali x",,id,"@ch_chotimah2 @jokowi @gibran_tweet @ganjarpranowo Saya 2x pilih lurah... Tp sejak kasus rempang sudah gak ada simpatik lagi k lurah. Demi cuan masuk, rakyat d gebukin n d tembaki gas air mata. Dan pak lurah sama sekalipuan gak ada statement. Tp klo k papua bisa berkali x",False,38,True
@MOHDAHL01728541 @CNNIndonesia penguasaan lahan sampai 190 tahun itu bagus karena di tolak PKS  omnibus Law bagus karena di tolak PKS  pengusiran warga rempang adalah tindakan bagus karena di tetang PKS  pennbangan andesit ilegal di wadas itu bagus karena di tentang PKS  BBM naik itu bagus karena di tolak pks,,id,@MOHDAHL01728541 @CNNIndonesia penguasaan lahan sampai 190 tahun itu bagus karena di tolak PKS  omnibus Law bagus karena di tolak PKS  pengusiran warga rempang adalah tindakan bagus karena di tetang PKS  pennbangan andesit ilegal di wadas itu bagus karena di tentang PKS  BBM naik itu bagus karena di tolak pks,False,49,True
"@detikcom Klo disini rakyat ngga salah digusur  yang penting no 1 investasi china nnti kan dpt komisi dari yang dijual tuh tanah rempang galang... Negara sdh di-CHINAKAN sama mukidi,cukup kaos di-lempar2 dari mobil spt zaman belanda klo ngasih ke rakyat yang dijajah di-lempar2..ngga sopan",,id,"@detikcom Klo disini rakyat ngga salah digusur  yang penting no 1 investasi china nnti kan dpt komisi dari yang dijual tuh tanah rempang galang... Negara sdh di-CHINAKAN sama mukidi,cukup kaos di-lempar2 dari mobil spt zaman belanda klo ngasih ke rakyat yang dijajah di-lempar2..ngga sopan",False,42,True
"Aku sangat optimis, Rempang akan menjadi mesin ekonomi baru Indonesia juga bakal meningkatkan pertumbuhan ekonomi daerah ke depannya. @DPR_RI @bahlillahadalia  Bahlil Kawal Investasi  #HIPMIRempang https://t.co/12rMvKr8WW",,id,"Aku sangat optimis, Rempang akan menjadi mesin ekonomi baru Indonesia juga bakal meningkatkan pertumbuhan ekonomi daerah ke depannya. @DPR_RI @bahlillahadalia  Bahlil Kawal Investasi  #HIPMIRempang https   t.co 12rMvKr8WW",False,25,True
"Keberhasilan investasi Rempang tak terlepas dari proaktifitas Menteri Bahlil. Dengan konsistensinya dalam memastikan kesepakatan yg adil, ia membuktikan bahwa investasi yg sukses memperhatikan kepentingan semua pihak. #HIPMIRempang Bahlil Kawal Investasi https://t.co/510sdTLyIm",,id,"Keberhasilan investasi Rempang tak terlepas dari proaktifitas Menteri Bahlil. Dengan konsistensinya dalam memastikan kesepakatan yg adil, ia membuktikan bahwa investasi yg sukses memperhatikan kepentingan semua pihak. #HIPMIRempang Bahlil Kawal Investasi https   t.co 510sdTLyIm",False,32,True
"@bd_baskoro Rating itu tidak bisa dibikin begitu saja, tapi di nilai dari semua aspek Dan penilainya itu masyarakat dunia, hasil kinerja, tingkah laku, sosial politik, dan kepentingan rakyat.  Ini rempang mau di kosong Wadas jg bgt Pemimpin model apa itu",,id,"@bd_baskoro Rating itu tidak bisa dibikin begitu saja, tapi di nilai dari semua aspek Dan penilainya itu masyarakat dunia, hasil kinerja, tingkah laku, sosial politik, dan kepentingan rakyat.  Ini rempang mau di kosong Wadas jg bgt Pemimpin model apa itu",False,39,True
"@msaid_didu @KompasTV @tvOneNews @BEMUI_Official @aniesbaswedan @mohmahfudmd @Metro_TV Goreng2masalah rempang, penggusuran oleh rezim, eh ini, PT BMS punya si chaplin bos nya @msaid_didu sama juga gusur lahan padi warga,yg dah lama ada disitu sama juga kek di rempang,ya  besaran dikit rempang,cuma ibarat maling sepeda komentarin maling mobil🤣👇 @sofiesyarief https://t.co/RZ8a8tlmqw",,id,"@msaid_didu @KompasTV @tvOneNews @BEMUI_Official @aniesbaswedan @mohmahfudmd @Metro_TV Goreng2masalah rempang, penggusuran oleh rezim, eh ini, PT BMS punya si chaplin bos nya @msaid_didu sama juga gusur lahan padi warga,yg dah lama ada disitu sama juga kek di rempang,ya  besaran dikit rempang,cuma ibarat maling sepeda komentarin maling mobil  @sofiesyarief https   t.co RZ8a8tlmqw",False,48,True
Buku Librari Ori - Muslimah Bukan Agen Moral https://t.co/h3DI4BteYD WR 1 Batik Air Kapolsek Rempang #AniesMuhaimin2024 Jenglot Miring #HongKongOpen2023 Narnia https://t.co/x2DPqfJKcN https://t.co/wWPqCwf4i4 https://t.co/rQmlspkoBA,,id,Buku Librari Ori - Muslimah Bukan Agen Moral https   t.co h3DI4BteYD WR 1 Batik Air Kapolsek Rempang #AniesMuhaimin2024 Jenglot Miring #HongKongOpen2023 Narnia https   t.co x2DPqfJKcN https   t.co wWPqCwf4i4 https   t.co rQmlspkoBA,False,25,True
"Keberlangsungan investasi di Rempang dinilai penting. Namun, publik juga menyoroti pentingnya mengedepankan aspek hak asasi manusia tanpa ada  kekerasan dalam penyelesaian konflik di sana. #Survei #AdadiKompas   https://t.co/LorULI41xk",,id,"Keberlangsungan investasi di Rempang dinilai penting. Namun, publik juga menyoroti pentingnya mengedepankan aspek hak asasi manusia tanpa ada  kekerasan dalam penyelesaian konflik di sana. #Survei #AdadiKompas   https   t.co LorULI41xk",False,28,True
