created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,
"Thu Oct 05 23:54:52 +0000 2023;1710081150398640443;""@RusdiSudar37213 @Mdy_Asmara1701 Melanjutkan mengsengsaraksensarakan rakyat seperti di Rempang?.!"";0;0;0;0;in;4198408577;1709849362900328880;wawananwar12;https://twitter.com/wawananwar12/status/1710081150398640443",,,,,,,,,,,
"Thu Oct 05 23:53:30 +0000 2023;1710080807464034456;""Nderek Nandang Duhito Sampun Kapundut Marak Sowan Wonten Ayunanipun Gusti Ingkang Murbeng Dumadi", Sumbah Nyai Hj Hafidhoh Binti Kh Suyuthi," Tasikagung Rembang. Lahal Fatihah.... https://t.co/kpqb4vpSQD"";0;0;0;0;in;2842747748;1710080807464034456;kopimojo;https://twitter.com/kopimojo/status/1710080807464034456",,,,,,,,,
"Thu Oct 05 23:52:51 +0000 2023;1710080642690719804;""@CNNIndonesia Ya percaya ", rumah nya kan d solo ,," Ndak mungkin kan pulang k Rempang"";0;0;0;0;in;1147475793284460544;1709839983648096636;Rantau51502257;https://twitter.com/Rantau51502257/status/1710080642690719804",,,,,,,,
"Thu Oct 05 23:46:06 +0000 2023;1710078942001222070;""Amien Rais Datang ke Pulau Rempang"," Bicara Oligarki dan Demokrasi yang Pingsan #TempoNasional https://t.co/jTg1ugAChj"";1;8;24;93;in;18129942;1710078942001222070;tempodotco;https://twitter.com/tempodotco/status/1710078942001222070",,,,,,,,,,
"Thu Oct 05 23:42:37 +0000 2023;1710078066016530640;""ACCESSORIES ALA Idol kpop  t. Ldii you and me by jennie cianjur laura basuki thank you taeyong nescafe seduh na pd jorji na jaemin you did well 78 tahun school 2015 pbsi gen z fajri investasi rempang angga cheol beckham jambu pilih aku kpai shameless onana heijin#jumatberkah"";0;13;8;18;in;1685616933377601536;1710078066016530640;geenam666;https://twitter.com/geenam666/status/1710078066016530640",,,,,,,,,,,
"Thu Oct 05 23:40:55 +0000 2023;1710077640047239262;""@PDemokrat Rakyat mana yg di urus boss", sembako mahal," Rempang dan daerah lain masih mencekam kalian sibuk aja dengan diri sendiri."";0;0;0;0;in;1569574354404655105;1709827179629236275;Desrial16;https://twitter.com/Desrial16/status/1710077640047239262",,,,,,,,,
"Thu Oct 05 23:36:58 +0000 2023;1710076642876694994;""@OposisiCerdas Pak presiden senengnya ditanya soal peresmian2", bagi2 setifikat, bagi2 bantuan, bagi2 sepeda, kalau soal Utang, kasus demo Rempang, itu bukan bidangnya," ""masa harus Presiden""."";0;0;0;4;in;457367872;1709614868205371475;aaivanrahmawan;https://twitter.com/aaivanrahmawan/status/1710076642876694994",,,,
"Thu Oct 05 23:26:38 +0000 2023;1710074045277057084;""@CNNIndonesia Inilah jakarta kmrn kalah", kira-kira IKN nanti bakalan kena kaya gini ga ya? 😅 Klo kena, pasti kaga ada AMDALnya saat akan membangun," kaya di Rempang Galang... ketahuan bergerak sebelum AMDAL turun. 🤣"";0;0;0;0;in;1227083919025221632;1709765355973861436;Zeent29;https://twitter.com/Zeent29/status/1710074045277057084",,,,,,,,
"Thu Oct 05 23:24:41 +0000 2023;1710073551871774904;""Reaksi Melayu 5 Negara BP Batam", Bahlil Lahadalia Muhammad Rudi Pembohong," Status Pengelolaan Pulau Rempang! https://t.co/YEGTRiJxRy"";0;0;0;0;in;1622493825104240641;1710073551871774904;JokoHar67908821;https://twitter.com/JokoHar67908821/status/1710073551871774904",,,,,,,,,
"Thu Oct 05 23:24:12 +0000 2023;1710073431306404044;""Bahlil sebut belum ada pembangunan konstruksi Rempang Eco City. Sebab"," masih dalam tahap pembebasan lahan yang ditargetkan selesai akhir tahun 2023 https://t.co/GPRSBN4sYm"";0;0;0;1;in;23343960;1710073431306404044;kompascom;https://twitter.com/kompascom/status/1710073431306404044",,,,,,,,,,
