created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 07 23:03:34 +0000 2023;1710793015235862602;"@Indramajid8 @hc_poirot Emang ad sebagian kcl yg setuju tp itu rata2 pendatang bkan warga asli cman u know lah mrka pnya media akhirnya dibuat headline seolah2 smua wrga rempang se7 direlokasi biar meredam aksi warga diluar rempang.";0;0;0;1;in;864025554;1710454401503285447;patria_tia;https://twitter.com/patria_tia/status/1710793015235862602
Sat Oct 07 22:58:42 +0000 2023;1710791791463805362;"@hapekayu @ekowboy2 @kegblgnunfaedh Bela Rempang belom ?";0;0;0;0;in;1065893262;1710662293162439016;kidsakhirzaman;https://twitter.com/kidsakhirzaman/status/1710791791463805362
Sat Oct 07 22:56:35 +0000 2023;1710791259311530471;"@Li9ayaTalaChes4 Ini bukan di Rempang";0;0;0;1;in;602655520;1710671139960459651;212bowie;https://twitter.com/212bowie/status/1710791259311530471
Sat Oct 07 22:56:20 +0000 2023;1710791193901285809;"Kalian pertahankan Rempang, sudah tinggal beranak pinak ratusan tahun.  Di belakang Rempang itu China, jangan sampai kejadian seperti Rohingya diusir karena napsu serakah investasi.  Investasi harus melihat dan melibatkan rakyat sebagai stake holder kawasan. Jangan mematikan mrk";0;0;2;8;in;1605783604591620097;1710791193901285809;Avocado2Juice;https://twitter.com/Avocado2Juice/status/1710791193901285809
Sat Oct 07 22:53:47 +0000 2023;1710790552348930440;"Rempang Batam Benteng NKRI🇮🇩";0;0;1;1;in;1573632007749263360;1710790552348930440;Zaenal58788427;https://twitter.com/Zaenal58788427/status/1710790552348930440
Sat Oct 07 22:50:59 +0000 2023;1710789850377638157;"@MardaniAliSera @PDemokrat @jokowi @PKSejahtera Kontestasi, gagasan preeet lah semua. Beras mahal, masyarakat di rempang  tuh  diurusin.";0;0;0;0;in;851639719121231872;1709438590512775574;NoorMuzani;https://twitter.com/NoorMuzani/status/1710789850377638157
Sat Oct 07 22:48:40 +0000 2023;1710789265763025322;"Rupanya lebih parah dari yang kita duga. Berpotensi lumpuh layu seperti Tukul Arwana. Mungkin ini karma atas kedzolimannya pada warga Rempang🙏😎";13;41;57;391;in;1667233216091279363;1710788555570855991;Andria75777;https://twitter.com/Andria75777/status/1710789265763025322
Sat Oct 07 22:47:33 +0000 2023;1710788986057425145;"@PDemokrat pada saat @PDemokrat nanti menang maka mereka akan mengiyakan apa yang dilakukan @jokowi di rempang, Seruyan, Kebumen dll,  akhirnya kemunafikan itu tampak jelas.. demi jabatan dan kekuasaan.. demi seorang, mulai saat ini jangan teriak lagi jargon perubahan..";0;1;0;3;in;174603612;1710551695951056955;ariyantosetyaji;https://twitter.com/ariyantosetyaji/status/1710788986057425145
Sat Oct 07 22:35:07 +0000 2023;1710785856146178211;"@IwanIwanely72 @realAmienRais @DPP_PartaiUmmat @RidhoRahmadi85 @Singa_Nala @pakaipeci @annourcharity @BuniYani #MelayuRempangBerani lawan Gerombolan Plongo Cireng yg CAPLOK Tanah Leluhur Rempang";0;0;0;2;in;1604458824475500544;1710680452460339707;nobipang;https://twitter.com/nobipang/status/1710785856146178211
Sat Oct 07 22:31:38 +0000 2023;1710784978609750349;"@TrioKwek212Kwek Islam Indonesia ditindas itu yang mana sih ? Kalau yg dimaksud itu kasus Rempang, ya ga pas lah diksi yang digunakan. Bijaksanalah dalam memilih kata.";0;0;0;0;in;1603665522972708864;1710730721474789525;Godam062;https://twitter.com/Godam062/status/1710784978609750349
Sat Oct 07 22:30:06 +0000 2023;1710784591219622281;"@bahlillahadalia Menurut saya, langkah persuasif menteri @bahlillahadalia kepada masyarakat Rempang dapat menjadi percontontohan kepala daerah lainnya. Insya Allah konsolidasi aman terkendali dan sukses sebelum akhir 2023 ini #DukungBahlil";0;0;0;0;in;329945757;1710783457641832878;inisiatifm;https://twitter.com/inisiatifm/status/1710784591219622281
Sat Oct 07 22:27:30 +0000 2023;1710783938992742585;"Saya turut dukung dan selalu mendukung langkah senior saya @bahlillahadalia khususnya dalam konsolidasi masyarakat di Rempang #DukungBahlil";0;1;0;0;in;329945757;1710783457641832878;inisiatifm;https://twitter.com/inisiatifm/status/1710783938992742585
Sat Oct 07 22:25:54 +0000 2023;1710783538105298985;"@papasito_OF @detikcom kenapa kalau kasus demo menolak investasi di rempang bisa langsung ditangkap padahal mereka memperjuangkan hak tanahnya";0;0;0;0;in;1571135641181892609;1710158692740636963;alumniatpu79;https://twitter.com/alumniatpu79/status/1710783538105298985
Sat Oct 07 22:25:41 +0000 2023;1710783479922004095;"@tvOneNews Yang kemarin koar2 kalau masyarakat Rempang yang tidak bersalah dibebaskan  khawatir indonesia jadi negara 'preman', Apa kabar anda, melihat perilaku teman sejawat anda jadi tukang palak, Lil..??!!";0;1;1;3;in;1647150848;1710780049786621959;altprayoga;https://twitter.com/altprayoga/status/1710783479922004095
Sat Oct 07 22:21:22 +0000 2023;1710782395362726022;"@gariby314884 @Naz_lira @ganjarpranowo @jokowi Kerja nyata. Nyatanya di wadas... Di rembang Eh bank Jateng EhKaTePe";0;0;0;3;in;1620817987069693952;1710557028987609417;EH_KAGET_01;https://twitter.com/EH_KAGET_01/status/1710782395362726022
Sat Oct 07 22:21:09 +0000 2023;1710782340937781297;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas Keren pak, dgn melibatkan masyarakat dalam proyek Rempang aman Eco City. Kami #DukungBahlil terus👏🏻";0;0;0;0;in;1569217155450961926;1710619730703450570;zubyyzu;https://twitter.com/zubyyzu/status/1710782340937781297
Sat Oct 07 22:18:23 +0000 2023;1710781645811527809;"@Naz_lira Bahasa media dimanapun sama liat aja di rempang, rakyat sana di cap premanisme";0;0;0;3;in;1576980275946754048;1710668641203843520;ruangngupi;https://twitter.com/ruangngupi/status/1710781645811527809
Sat Oct 07 22:02:35 +0000 2023;1710777666268446841;"@ShiElita19 @bahlillahadalia Apa dah terima fee proyek makanya Ngotot kl istilah si @bahlillahadalia ini Melayu Rempang Digeser aj ???   🤣";0;0;0;1;in;1604458824475500544;1710456245084401921;nobipang;https://twitter.com/nobipang/status/1710777666268446841
Sat Oct 07 21:56:26 +0000 2023;1710776119484662021;"@hukumatikoruptr @KangManto123 @wietj4k Yaa kali kali ada orang mau pergi jauh jauh dari padang ke rempang tanpa di bayar Suu..?";0;0;0;0;in;569520725;1701544053899452769;Anti_Tirany;https://twitter.com/Anti_Tirany/status/1710776119484662021
Sat Oct 07 21:46:09 +0000 2023;1710773534237274397;"@Confused_man_0 @Darnatisma85066 @VIVAcoid Sejak kapan ada penyusup main buka2an di sosmed ? Yg kusebut diatas masalah rempang, bukan di jawa";0;0;0;0;in;1603103363423698944;1710296167970378067;AndiAhm34657650;https://twitter.com/AndiAhm34657650/status/1710773534237274397
Sat Oct 07 21:45:49 +0000 2023;1710773447360712889;"Bangsat kalian !!!!!!, mereka berjuang untuk tanah air mereka yg ditelan israhell. Besok pun yakin beritamu akan menyebut teoris rempang, teroris Kaliman, COK!!";0;0;0;1;in;1542037916611780608;1710773447360712889;KolorGelap_2;https://twitter.com/KolorGelap_2/status/1710773447360712889
Sat Oct 07 21:42:59 +0000 2023;1710772734190551149;"@CNNIndonesia stresss rempang";0;0;0;0;en;1694193316768940032;1710277766644666609;hero_sleep63033;https://twitter.com/hero_sleep63033/status/1710772734190551149
Sat Oct 07 21:38:43 +0000 2023;1710771663565205655;"@AtokBadar75777 LBP mau membuldoser warga Rempang, sebentar lagi Malaikat Izrail yang akan membuldoser LBP ❗";0;0;0;0;in;1247097802938712064;1710695035619160105;AbdHali59646742;https://twitter.com/AbdHali59646742/status/1710771663565205655
Sat Oct 07 21:29:08 +0000 2023;1710769249785106732;"@Srik4ndiMuslim2 Benar ini di Rempang???";0;0;0;0;in;1651869883;1710621961552797851;AsharHaruna;https://twitter.com/AsharHaruna/status/1710769249785106732
Sat Oct 07 21:26:52 +0000 2023;1710768678910955875;"Proyek Rempang, Bagian Penjajahan China di Indonesia https://t.co/AGG3fnpq5g https://t.co/UcmkzWieIj";0;0;2;0;in;2918142446;1710768678910955875;suaranasional;https://twitter.com/suaranasional/status/1710768678910955875
Sat Oct 07 21:25:32 +0000 2023;1710768342582358495;"@YLBHI @opposite6892 @ListyoSigitP Rempang jilid 2";0;0;0;0;in;1599903982700273664;1710553798593438187;Gudniws;https://twitter.com/Gudniws/status/1710768342582358495
Sat Oct 07 21:20:19 +0000 2023;1710767031505875192;"DPR dan publik #DukungBahlil yang berpijak pada sebuah tujuan baik untuk mengupayakan terwujudnya Rempang Aman dan pembangunan Proyek Strategis Nasional bisa menghadirkan win - win solution https://t.co/Wm6G4YgSj7";0;0;0;0;in;1653049221535399937;1710767031505875192;Diamoen;https://twitter.com/Diamoen/status/1710767031505875192
Sat Oct 07 21:19:03 +0000 2023;1710766711866314968;"Dengan #DukungBahlil untuk pembangunan Rempang Eco City adalah merupakan suatu sikap kerja sama yang memberikan masukan yang konstruktif yang sangat diperlukan untuk menghadirkan Rempang Aman bagi warga dan investasi https://t.co/xAop1da9RU";0;0;0;1;in;1487816856375541760;1710766711866314968;Biscuiik;https://twitter.com/Biscuiik/status/1710766711866314968
Sat Oct 07 21:16:55 +0000 2023;1710766176845139980;"DPR optimis , dan menaruh kepercayaan yang besar untuk selalu #DukungBahlil  karena akibat pendekatan Menteri Bahlil yg down to earth membuat Rempang Aman dan bisa menpercepat investasi Rempang Eco City https://t.co/A96PJPvKlj";0;0;0;0;in;1663192107069378560;1710766176845139980;certtfer;https://twitter.com/certtfer/status/1710766176845139980
